"","Action.taken.OIPM","Action.taken.year","Allegation.short","Allegation.primary.key"
"1","None",2014,"NEGLECT OF DUTY","4b5630ee914e848e8d07221556b0a2fb"
"2","None",2014,"ADHERENCE TO LAW","9d08099943f8627959cfb8ecee0d2f5d"
"3","None",2014,"ADHERENCE TO LAW","8eaca7c9b35d05ab15c9125bc92372fa"
"4","None",2014,"FALSE OR INACCURATE REPORTS","71db8a6cad03244e6e50f0ad8bc95a65"
"5","None",2014,"FALSE OR INACCURATE REPORTS","8f3571abef23f6aca0f7b8666a74e7e0"
"6","Unknown action taken",2012,"ADHERENCE TO LAW","fa5a4df7ac0f9782037da890557fd8b8"
"7","Unknown action taken",2012,"FALSE OR INACCURATE REPORTS","8ae1ac7bdf62dca7c19b427a9153445c"
"8","Unknown action taken",2012,"ADHERENCE TO LAW","06cd248dd1409b804444bd9ad5533d1d"
"9","Unknown action taken",2012,"FALSE OR INACCURATE REPORTS","e03a89536262b6a0e2beabd90a841c43"
"10","None",2011,"Professionalism","2a099397e2d2dd0f2a2e5a5b4234867d"
"11","None",2013,"ADHERENCE TO LAW","be3c152f6f6bcd5f85f9e4cba49b1e48"
"12","None",2013,"ADHERENCE TO LAW","40755f30599581bfb1186f077db8f580"
"13","Suspension",2011,"INSTRUCTIONS FROM AUTHORITATIVE SOURCE","b225fb1495dbb5e5dfb3e327dceb7ab2"
"14","None",2010,"ADHERENCE TO LAW","635d85ebc32e43cadb00fe448947d969"
"15","Dismissed",2012,"ADHERENCE TO LAW","59b4484ea2cd5c87f56de1c6ddd7e19f"
"16","None",2010,"ADHERENCE TO LAW","49e9e50c71b663b7e4e4b9d870920ad7"
"17","Dismissed",2012,"ADHERENCE TO LAW","07f9d312018c1799bc2e2b5b4fdc4c1b"
"18","Dismissed",2012,"ADHERENCE TO LAW","19f81dd74586c47c87de4353cd0aa65b"
"19","None",2008,"ADHERENCE TO LAW","844aced27a376333e0dbdf743ed12ed0"
"20","None",2011,"ADHERENCE TO LAW","573eab2ced3c551907f04f6573cb9089"
