"","Folder.number","Race","In.Year","In.Month"
"1","28f8bb94b178cd821b5c7478b3635bed","White",2017,1
"2","6b430b610c655347a8ae2997942b80d4","White",2017,1
"3","f3f17573143121bbb31d199f1810827c","Black / African American",2017,1
"4","999c74ad74f6f1768488cf9d0d4084b8","White",2017,1
"5","18c1cc3ae85b16c1e8a154a5e579275f","White",2017,1
"6","6f77f5e67da89feca2471a3e60dd3257","White",2017,1
"7","1c539e5fd55b5f076068f8cccb574353","White",2017,1
"8","113a0937ecf052dbd76f62f3ee970866","White",2017,1
"9","ebc6f932d1eb7fa1bfa0312675dbd076","Black / African American",2017,1
"10","fa92f05538fb018c749d4e7d31978e9b","White",2017,1
"11","a81600b5f6a26f49600a7e910f8812b9","White",2017,1
"12","05b9623b56221a1d626f39f9971c416c","Black / African American",2017,1
"13","bd503c47f9dd0db6592b76509717bce1","Hispanic / Latinx",2017,1
"14","33d22e8e8df4aecd1fc7fd6de865a49d","Black / African American",2017,1
"15","2b346e433133cad7e64305a9f16b9406","Black / African American",2017,1
"16","be220241797cb7370e5171c7d88a99a7","Black / African American",2017,1
"17","425aa7f76e2712372849a99fb6cb530d","Black / African American",2017,1
"18","4ec1184ef954d488ba9c09e3fc812dd0","Black / African American",2017,1
"19","fd5db6ec52ccd4716c73fc67af0a1430","Black / African American",2017,1
"20","9b1e2c88949adf17542dc4aa54ff0d9f","Black / African American",2017,1
"21","f4680207245cc776fb10539b8cc77844","Black / African American",2017,1
"22","264691dd0f2f7d38c726b29fcb06fcda","Black / African American",2017,1
"23","c205444d5ccb6da5f11fa7e367a18cb8","Black / African American",2017,1
"24","c5ef68bfb6eda23b84b9c6c06d7f7310","Black / African American",2017,1
"25","4762d157de8a02dab47e0fd7d44f29bd","Black / African American",2017,1
"26","0750a13f9f087fe6ca9709b2df65be83","Black / African American",2017,1
"27","db50fda183f21124c83b9a22173b61ce","Black / African American",2017,1
"28","da0084537b62e9d080b16f4c9a2aec10","White",2017,1
"29","3b571c317b96c16993c0fdfddfd235a3","White",2017,1
"30","7523327b4d13b64c551a548a2499544c","White",2017,1
"31","05214b03cea95cbbf86995569bbd9704","Black / African American",2017,1
"32","abfad72648c9bf531551b022f8ad02b1","White",2017,1
"33","d1d268c11c0c53463c78bb209ac7ff1d","White",2017,1
"34","d08c1672d0e57f4d48ccc4bf96c4197e","White",2017,1
"35","5737f08c5eecb41a9eaf5b72dd9e65a8","White",2017,1
"36","e481aa37f67812c997af2c368b66dc8b","Black / African American",2017,1
"37","5ec90a90d593b8b8887fd850068a5b56","White",2017,1
"38","d9ee5812b8c2520a26ffb259d7821d5a","Black / African American",2017,1
"39","42995c653902c17b896651e42389c340","Black / African American",2017,1
"40","9c24e609d7b14a481fd7bcd491663688","Black / African American",2017,1
"41","ee8e4db109c1478add307e10ac9c89a7","Black / African American",2017,1
"42","caa9cdd4503b5cb2c9eb0f4b6556a0a3","Black / African American",2017,1
"43","1aa6bef9bf306db977ddb8b3b2b4acc1","Black / African American",2017,1
"44","2b8755aaf24985345d5e5a623bd01ed4","Black / African American",2017,1
"45","66aca6ebec1eafe6f1b52c4b7676c5e8","Black / African American",2017,1
"46","358f0f8432282eed79261d18b9f6a5d3","Black / African American",2017,1
"47","201179c28114b44529d4b12a62723456","Black / African American",2017,1
"48","9a82dddb454a27b7ebf09514e7d041cb","White",2017,1
"49","8a56ee5f058c78dada9e445db38383f0","White",2017,1
"50","7af9453d057977cf9d863b2e04f8067a","White",2017,1
"51","3aa8a4882d31d3716e60ee5b44bd3f55","Black / African American",2017,1
"52","cbfd05787300c8e2043a470feaddef86","Black / African American",2017,1
"53","dc5595cfc0e5d56153768c6fa13f512a","Black / African American",2017,1
"54","befb1c854cb29ff059d7dfbd771d7a53","Black / African American",2017,1
"55","06b2588725f64a7ca64f92993700e856","White",2017,1
"56","722064353a05f53d397a3848c8acf227","Black / African American",2017,1
"57","2cd859d7fefc04e7582f59b5c577a0cb","Black / African American",2017,1
"58","8a1d3a49b85c2588e85fb1d760c12878","White",2017,1
"59","105e709648e0d609b7fb8bd4eb79eff1","Black / African American",2017,1
"60","24b08ed5bcb3302e1b585812f5dbc964","Black / African American",2017,1
"61","fa95c6d84ad0ddc8e7bf96aec8953348","Black / African American",2017,1
"62","34f2bb2295a91b5c044cd4ff7d432f4b","Black / African American",2017,1
"63","0f2727c7f4bac3a13a24915775a56ab8","Black / African American",2017,1
"64","ed01fa00ccf34ef23f5c6ac326a752e0","White",2017,1
"65","f78022a6f4bf74296595a3c2779cbdda","Black / African American",2017,1
"66","8a98337645f3a4b0eeea3a7d8b3a3085","White",2017,1
"67","35ed70a7c763347e9db160ec1ab5128f","Black / African American",2017,1
"68","373f7b5a01b2664eb84f76c9c3aaa531","White",2017,1
"69","ee84260afeaaa4a86ba72290e9182625","Black / African American",2017,1
"70","6be30c233b0871a8682917b4ecea9865","Black / African American",2017,1
"71","1c7e532e9c1eedbeb34298d378623a2f","Black / African American",2017,1
"72","e08b095065fa4b8d59f9a096f5872eb0","Black / African American",2017,1
"73","0a3be9837bd6dc4328f7e10363506d5b","Black / African American",2017,1
"74","8a448441b39b7c8fc1859d5afe4b4392","Black / African American",2017,1
"75","23f1875c060abb1d8209bbf4261ebfcc","White",2017,1
"76","514b23b54cfca9cc69d2ce9709c875b9","White",2017,1
"77","8e70456f0adba8aaba81cfc437567520","White",2017,1
"78","cbd2bc14150db0edef02c485484be9da","Black / African American",2017,1
"79","06756cca0eb60b1a385678f6efd602f6","Asian / Pacific Islander",2017,1
"80","b8a0bee2f14eea6bdf235ce48fb79151","Black / African American",2017,1
"81","616f4b85b31b47d0d51408cc01264f38","Black / African American",2017,1
"82","a7d6913eb7bc2b4b7070755570b20f77","Black / African American",2017,1
"83","8eac4527b47897b464566f642ac518f5","White",2017,1
"84","b4c3b4514373f86031848b0c4ed43b72","Black / African American",2017,1
"85","bf5eb1d195472cc7205b12ab3130a3fe","Black / African American",2017,1
"86","325b54ef813f831629f9c3f039decc14","Black / African American",2017,1
"87","a4afe3d3d2d8787c63ce9ffb9ffc914b","Black / African American",2017,1
"88","1a61d819fe898fee1dd76cd38726b55b","Black / African American",2017,1
"89","986c02103fb4e57a74e0d6aa72f61d75","Black / African American",2017,1
"90","800d6f60b310c8be89bae7d65f839a33","Black / African American",2017,1
"91","7790f463ac43108d74df7bb38a97feab","Black / African American",2017,1
"92","4cada22866fe67f0accfada281a0ee0b","Black / African American",2017,1
"93","b5623b72629f28be4b162b3c4518f1c8","Black / African American",2017,1
"94","9088dba8d09bd8704687a5a640b92a51","Black / African American",2017,1
"95","466727a3d09745c7117ca70839436cf4","Black / African American",2017,1
"96","bc313a5b8bdd60f7b7b2daf0c9c8edd9","Black / African American",2017,1
"97","8ca7728c187992c97aa4667faa8bd61d","Black / African American",2017,1
"98","cc743b4bad77747ea430f2f39b985109","Black / African American",2017,1
"99","483fccc52b03668413ba053fade6b8c0","Black / African American",2017,1
"100","f5517125d56318ae0589cf2815667d1c","Black / African American",2017,1
"101","de21129b7dbd233f81e0e12a88e3d726","Black / African American",2017,1
"102","82d24c4e92741c2d2d587f0612906556","Black / African American",2017,1
"103","8fdefa945489d179dd919eb0ba69c8ff","Black / African American",2017,1
"104","98d13aa0431240933936f2ff9360fc75","Black / African American",2017,1
"105","a6c2eeca02a4a15af33d8927b2abe562","Black / African American",2017,1
"106","d4ea3062e7a9e73fd50e1f54c296a1fe","Black / African American",2017,1
"107","3c9bbaccc1b946d099ff52e602d2e76c","Black / African American",2017,1
"108","4b06ea14ea4cef765466bba8ad685a01","Black / African American",2017,1
"109","bdfe580818ba53be70f61ac976ead2ff","Black / African American",2017,1
"110","44cc150c2d4ffc96c6832ef65c113615","White",2017,1
"111","f9fbda1979f396a4dcec3189f7f9e9f0","Black / African American",2017,1
"112","7cc84aeb448a39fbd8583d1d96f52288","Black / African American",2017,1
"113","b838b4b9936008d862a43a0cc8ea0529","Black / African American",2017,1
"114","5c9995d77e7f75caaa4e71642de36691","Black / African American",2017,1
"115","f4a426bfe5566753c7fdd89a3a633d76","Black / African American",2017,1
"116","cab050705b97baf45de08d422ccddf2b","White",2017,1
"117","c07aeb128d7e897d4f05ec5a6a49a9ce","White",2017,1
"118","2df544a9738ec41cc796d4c9b0c4cdd1","Black / African American",2017,1
"119","480afec3a5252ca13c13bf6fa4216fb5","Black / African American",2017,1
"120","60c885abfe39da42e078e3d1c6e2816c","Black / African American",2017,1
"121","c4c551cd8d296a5f36e11688b46d3a2f","White",2017,1
"122","7530b16d84d51f8824ba0b666797b870","Black / African American",2017,1
"123","c46e298ffc9fd09ea6f9fbbd724af231","White",2017,1
"124","56fa9d6c808d15f50349f6e64cd36a8a","Black / African American",2017,1
"125","94b409e50d5864a411db484f7e8704f4","Black / African American",2017,1
"126","4e061fcd52d7bccae65014eb66dd5a76","Black / African American",2017,1
"127","cd78cdacf918147ac8ed72f8fcc0ae4d","Black / African American",2017,1
"128","08b99a75cefb6ba4e3d6d9acfc94fcd3","White",2017,1
"129","224a173de3ee33bff208d041c5f13ccd","Black / African American",2017,1
"130","66a3ba7e4f73eb1db2d82547ad22ec3e","White",2017,1
"131","9773874723a6fb784b7f25c6ac445909","Black / African American",2017,1
"132","490a9ddeadfc19efdfe5a721a19747b9","Black / African American",2017,1
"133","cb9ba5f681fe0fb1a8d86fb26e4e288f","Black / African American",2017,1
"134","99f72bed671e01bf95a3b2a7c311eb93","Black / African American",2017,1
"135","dc079bbbb2858f7954d8fd5b2b664002","Black / African American",2017,1
"136","d54d8db715a81e6a3f8f9b7478ccbe66","Black / African American",2017,1
"137","3f1cec6d311be43537cc2a431b6fb56c","Black / African American",2017,1
"138","f9cd4b8a9f9501bc8c0deaa6248e65b8","Black / African American",2017,1
"139","5d94e8f5157df925926a0663d184b16b","White",2017,1
"140","5ce7a150ed82f14d7ee276fd25800cf7","Black / African American",2017,1
"141","1bcb127e30f57e86c58efbfc053ab3ef","White",2017,1
"142","8ea8933bc609f044cb8ff87e07ec1e8b","White",2017,1
"143","6a090c1daa8ed8271b48c7e45f04ff61","Black / African American",2017,1
"144","7cc10c3370abec4a1e009ad640bb1e97","Black / African American",2017,1
"145","b362489f78b968b32da8cbcffd0df0ef","White",2017,1
"146","d42d67f7b89220056d2f8d9447a24f00","White",2017,1
"147","a8c79a6c864f62a187de87b4be97d380","White",2017,1
"148","513b293a465c2437af3d380379fcc8ce","Black / African American",2017,1
"149","ae24fa94c3a502bc14168699ea0d8bb9","Black / African American",2017,1
"150","d1e1c7d0702f3a40a9a76c0aed38500b","White",2017,1
"151","c977c81dd7a6097147e74e913462456c","Black / African American",2017,1
"152","260ffea760907cb01fda5e0354991c6d","Black / African American",2017,1
"153","0b5bf38be3e933fcf9683723edff2f5d","Black / African American",2017,1
"154","07af49f13f18f6a9a71d3fea4010c765","Black / African American",2017,1
"155","48c930ce9928f918712e4bfbc563d5d3","Black / African American",2017,1
"156","914ecb0fab40e9a9012442a28e4e31c8","Black / African American",2017,1
"157","6c06c58a605083d74a05ee69c21ddd5e","Black / African American",2017,1
"158","93f7fe58ad7b82e041b815a8d21ae585","White",2017,1
"159","2be9a296c3fcc37f409fe079d0e371d5","Black / African American",2017,1
"160","66fba6c6995158385a19580fc8a0aa69","White",2017,1
"161","00b16e16c09ad710e8266a0f9b373499","White",2017,1
"162","7fcadca4051f0f58d15da252d132fb4e","Black / African American",2017,1
"163","377bb505c9e118a6f35e50f7f3a83922","Black / African American",2017,1
"164","8e13d26f7b0c05fc1f21955368729ee1","Black / African American",2017,1
"165","911dfec033caa617dc100b00dc337c2a","White",2017,1
"166","2723c51842205cbca6fda1b844d0bad0","Black / African American",2017,1
"167","82d86cd845d0a0a533c6e28b8eb5f74a","Black / African American",2017,1
"168","27502a49b5413ba895bd65bf4c29ffad","Black / African American",2017,1
"169","1d84fa66a67fa29e8b2f53ec8d789d0c","Black / African American",2017,1
"170","4ccebb003b599b220c0619606fc3af72","Black / African American",2017,1
"171","3c08b7d4fc7f5fdfd134bae8290e58db","Black / African American",2017,1
"172","73ffeb7b3d9d771c02645c0fbe36f658","Black / African American",2017,1
"173","42b7b5148e334b713be9975465c4f8f4","Black / African American",2017,1
"174","3ea472d9b6a5ce64d03c3e39eac5cbb0","Black / African American",2017,1
"175","323391ae1fca8d07103d73a3374c99cd","Black / African American",2017,1
"176","70009134470052240c3b689137df1718","Black / African American",2017,1
"177","9dcc87e4cc2e12359f9b64960121c8f5","Black / African American",2017,1
"178","91d8029f3774592dec645f34fb5e42ea","Black / African American",2017,1
"179","13b9a1cbde48e020b47226331fbac3bd","Black / African American",2017,1
"180","f58fd598ff6dedd8930391113f263d98","Black / African American",2017,1
"181","085c345b32efbdb12db9f086c6a51828","Black / African American",2017,1
"182","ed0694d8120350b8d0198b77fab328d5","Black / African American",2017,1
"183","80541c74ce7d709982947f9d7513df4d","Black / African American",2017,1
"184","948af858f28a13e8bd3c5686ce1c8620","White",2017,1
"185","49e6c75e99ea58d65ae2db3dc769af23","Black / African American",2017,1
"186","998450e20755c4a59e5c8e7d1673825a","Black / African American",2017,1
"187","7ca83f9c3cce513bca39c4b2607e093d","Black / African American",2017,1
"188","beffc894bb8a425248d325e61077a624","Black / African American",2017,1
"189","2aadb29c1993c513d20f2f26464330ed","Black / African American",2017,1
"190","d51a7d6c5ec549c9d025c44830dbc24f","Black / African American",2017,1
"191","b2d537a6dd41b75fae4c14f16cbfe9a5","Black / African American",2017,1
"192","beff8a00d132acb1dfbad55a7ca12472","Black / African American",2017,1
"193","3c00c67d3f9d57698597e5ceb645f0d8","Black / African American",2017,1
"194","f8aa2ebd25c9595c738d4fa287b0d13e","Black / African American",2017,1
"195","f5dc79443b76d504a362a62c7dbd6ef1","Black / African American",2017,1
"196","3b998b77a0c3b6100d5bfcd0475e698d","Black / African American",2017,1
"197","e7fdecdbde52961c7b60ab87224f14d5","White",2017,1
"198","2352e1cab07a8fc1f7fb669143f05c83","Black / African American",2017,1
"199","ccb373df87814c00a1d0d8ccf12aa0ec","Black / African American",2017,1
"200","89038b81d1540f85fb892eab9a33f936","White",2017,1
"201","e33055cb9f5994069eff0d6e7876858c","Black / African American",2017,1
"202","3f015acf9cf9d72e50962fcbe3474f97","Black / African American",2017,1
"203","bc4c9800862fbc2ff1a6da73a1caefe7","White",2017,1
"204","9c5593e8cb0b20cb494cc9bd61fa1b5e","White",2017,1
"205","de07119e43b8b9e50a576f8bd8401159","Black / African American",2017,1
"206","2708b6e2b0c8f839bc625a727dfc2bcd","White",2017,1
"207","f464179fe69fbb353b30a4e9859c8c1b","Black / African American",2017,1
"208","949ca9e375c9f338754bd656d7820ce3","Black / African American",2017,1
"209","97c37de3638c3748be6cba06b19bc23c","Black / African American",2017,1
"210","41c19c078f78f85a9982639a83520457","Black / African American",2017,1
"211","8739e34a8b6aef687c9356571e86a5d0","Black / African American",2017,1
"212","72a6551b228128724a08674437240c0f","Black / African American",2017,1
"213","d4a490d02cc05363a936bf72bc245abf","Black / African American",2017,1
"214","113c29eef0526ec0947f765b95717e98","Black / African American",2017,1
"215","62a35536ba24c52da8618517867aacf8","White",2017,1
"216","c044c33de49d3d94383e2ee77a68c973","White",2017,1
"217","cd65cc29c52e2b4ec0242c8230eca6a1","Black / African American",2017,1
"218","0f3909edafc626b430e826188a3858f8","Black / African American",2017,1
"219","6a50a1da95be6549df3c37a11873f583","Black / African American",2017,1
"220","71a61c83c6a6a198923daccad0f077b5","Black / African American",2017,1
"221","ac2a3edcd3a8c13f3b575e9aa8feb1c0","Black / African American",2017,1
"222","32f2ff872a6d0fc692ef3c68b5630965","Black / African American",2017,1
"223","50fef770eb63fa05db34ce18dac91ecc","Black / African American",2017,1
"224","97bd670040570959047656d9ec0049d4","White",2017,1
"225","0bcb4aa18849d019bee48c9c59f8398f","Black / African American",2017,1
"226","6d419e62e3d4e08787255bc2374614d6","Black / African American",2017,1
"227","f0e1c45b75ed0798d1c34a845446a317","Black / African American",2017,1
"228","3ebe1d940c1354cbc15609edf9a88237","Black / African American",2017,1
"229","8c0f0ee3429214478ed20a0f0c1c07bb","Black / African American",2017,1
"230","4a7cca703be482aea6ade47e1d85b8a5","Black / African American",2017,1
"231","38b82bc5f87825cb59dc053ce8e7aa95","Black / African American",2017,1
"232","e772302b69b3d357d9e14924752b6893","Black / African American",2017,1
"233","40c39dced9646089b2443336cb5e7204","Black / African American",2017,1
"234","2f0a15544bad7fed342fd3b9453352ff","Black / African American",2017,1
"235","b0e50f033274dc188d64777aeab3dc12","Black / African American",2017,1
"236","f40e5e6a9f71b430741c5c6254cc38f2","Black / African American",2017,1
"237","6573c5a7464a48ec76615246ff1f2fdf","Black / African American",2017,1
"238","839b07ec59ca2a211473e04425b8f2a4","Black / African American",2017,1
"239","18f9c9decfac0de5c8e993cc193df4e9","Black / African American",2017,1
"240","6148acc2bdad521ce3131e1a4f7de6c0","Black / African American",2017,1
"241","4ff3b6629742f34711e84a62a6b37606","Black / African American",2017,1
"242","10be8962729858bb92dbd7f43e796d41","Black / African American",2017,1
"243","9e1035dfe2b34caa49c7cda0b99f36c1","White",2017,1
"244","fc09ecf80d0912816ee56c5528986a8b","Black / African American",2017,1
"245","b2f1c34da8bef0360fd85d4d66ccc950","White",2017,1
"246","72ae14495574f10f81ffc2566b997142","White",2017,1
"247","f961c1d3b4c9ba3eba5486173574165b","Black / African American",2017,1
"248","f83580c2e0797511f39f02da3a278080","Black / African American",2017,1
"249","f3e0a15d304224dd566f24fee52539f2","Black / African American",2017,1
"250","b0723abfbd959837a89e7590a7712d96","Black / African American",2017,1
"251","97e6e3bfdd968c09c4a80bdb0a612547","Black / African American",2017,1
