"","Arrest.district","Folder.number","Race"
"1",8,"28f8bb94b178cd821b5c7478b3635bed","White"
"2",8,"6b430b610c655347a8ae2997942b80d4","White"
"3",6,"f3f17573143121bbb31d199f1810827c","Black / African American"
"4",8,"999c74ad74f6f1768488cf9d0d4084b8","White"
"5",8,"999c74ad74f6f1768488cf9d0d4084b8","White"
"6",8,"18c1cc3ae85b16c1e8a154a5e579275f","White"
"7",8,"18c1cc3ae85b16c1e8a154a5e579275f","White"
"8",3,"6f77f5e67da89feca2471a3e60dd3257","White"
"9",3,"6f77f5e67da89feca2471a3e60dd3257","White"
"10",3,"6f77f5e67da89feca2471a3e60dd3257","White"
"11",3,"1c539e5fd55b5f076068f8cccb574353","White"
"12",3,"1c539e5fd55b5f076068f8cccb574353","White"
"13",3,"1c539e5fd55b5f076068f8cccb574353","White"
"14",3,"1c539e5fd55b5f076068f8cccb574353","White"
"15",8,"113a0937ecf052dbd76f62f3ee970866","White"
"16",7,"ebc6f932d1eb7fa1bfa0312675dbd076","Black / African American"
"17",7,"ebc6f932d1eb7fa1bfa0312675dbd076","Black / African American"
"18",7,"ebc6f932d1eb7fa1bfa0312675dbd076","Black / African American"
"19",7,"ebc6f932d1eb7fa1bfa0312675dbd076","Black / African American"
"20",7,"ebc6f932d1eb7fa1bfa0312675dbd076","Black / African American"
"21",8,"fa92f05538fb018c749d4e7d31978e9b","White"
"22",8,"a81600b5f6a26f49600a7e910f8812b9","White"
"23",8,"a81600b5f6a26f49600a7e910f8812b9","White"
"24",7,"05b9623b56221a1d626f39f9971c416c","Black / African American"
"25",7,"bd503c47f9dd0db6592b76509717bce1","Hispanic / Latinx"
"26",7,"bd503c47f9dd0db6592b76509717bce1","Hispanic / Latinx"
"27",7,"bd503c47f9dd0db6592b76509717bce1","Hispanic / Latinx"
"28",7,"bd503c47f9dd0db6592b76509717bce1","Hispanic / Latinx"
"29",3,"33d22e8e8df4aecd1fc7fd6de865a49d","Black / African American"
"30",3,"33d22e8e8df4aecd1fc7fd6de865a49d","Black / African American"
"31",7,"2b346e433133cad7e64305a9f16b9406","Black / African American"
"32",7,"2b346e433133cad7e64305a9f16b9406","Black / African American"
"33",7,"2b346e433133cad7e64305a9f16b9406","Black / African American"
"34",7,"2b346e433133cad7e64305a9f16b9406","Black / African American"
"35",7,"2b346e433133cad7e64305a9f16b9406","Black / African American"
"36",7,"2b346e433133cad7e64305a9f16b9406","Black / African American"
"37",7,"2b346e433133cad7e64305a9f16b9406","Black / African American"
"38",7,"2b346e433133cad7e64305a9f16b9406","Black / African American"
"39",7,"2b346e433133cad7e64305a9f16b9406","Black / African American"
"40",7,"2b346e433133cad7e64305a9f16b9406","Black / African American"
"41",7,"be220241797cb7370e5171c7d88a99a7","Black / African American"
"42",7,"be220241797cb7370e5171c7d88a99a7","Black / African American"
"43",7,"be220241797cb7370e5171c7d88a99a7","Black / African American"
"44",7,"be220241797cb7370e5171c7d88a99a7","Black / African American"
"45",7,"be220241797cb7370e5171c7d88a99a7","Black / African American"
"46",7,"be220241797cb7370e5171c7d88a99a7","Black / African American"
"47",7,"be220241797cb7370e5171c7d88a99a7","Black / African American"
