"","Force.type","Force.level","year.of.record"
"1","Firearm Exhibited","L1",2015
"2","Taser No-Hit","L2",2015
"3","Firearm Exhibited","L1",2015
"4","Firearm Exhibited","L1",2015
"5","Firearm Exhibited","L1",2015
"6","Firearm Exhibited","L1",2015
"7","Taser No-Hit","L2",2015
"8","Canine (No Bite)","L1",2015
"9","Firearm Exhibited","L1",2015
"10","Firearm Exhibited","L1",2015
"11","Defense Tech / Take-down","L2",2015
"12","Hands / Escort tech","L1",2015
"13","Hands / Escort tech","L1",2015
"14","Taser No-Hit","L2",2015
"15","Hands / Escort tech","L1",2015
"16","Canine (No Bite)","L1",2015
"17","Firearm Exhibited","L1",2015
"18","Taser Exhibited ","L1",2015
"19","Canine (No Bite)","L1",2015
"20","Firearm Discharged","L4",2015
"21","Firearm Exhibited","L1",2015
"22","Firearm Exhibited","L1",2015
"23","Firearm Exhibited","L1",2015
"24","Firearm Exhibited","L1",2015
"25","Firearm Discharged","L4",2015
"26","Taser No-Hit","L2",2015
"27","Firearm Exhibited","L1",2015
"28","Hands / Escort tech","L1",2015
"29","Hands / Escort tech","L1",2015
"30","Hands / Escort tech","L1",2015
"31","Hands / Escort tech","L1",2015
"32","Firearm Exhibited","L1",2015
"33","Firearm Exhibited","L1",2015
"34","Firearm Exhibited","L1",2015
"35","Firearm Exhibited","L1",2015
"36","Firearm Exhibited","L1",2015
"37","Firearm Exhibited","L1",2015
"38","Firearm Exhibited","L1",2015
"39","Firearm Exhibited","L1",2015
"40","Firearm Exhibited","L1",2015
"41","Firearm Exhibited","L1",2015
"42","Firearm Exhibited","L1",2015
"43","Firearm Exhibited","L1",2015
"44","Firearm Exhibited","L1",2015
"45","Firearm Exhibited","L1",2015
"46","Firearm Exhibited","L1",2015
"47","Firearm Exhibited","L1",2015
"48","Firearm Exhibited","L1",2015
"49","Firearm Exhibited","L1",2015
"50","Firearm Exhibited","L1",2015
"51","Firearm Exhibited","L1",2015
"52","Firearm Exhibited","L1",2015
"53","Hands / Escort tech","L1",2015
"54","Hands / Escort tech","L1",2015
"55","Taser No-Hit","L2",2015
"56","Taser Exhibited ","L1",2015
"57","Firearm Exhibited","L1",2015
"58","Canine (No Bite)","L1",2015
"59","Firearm Exhibited","L1",2015
"60","Firearm Exhibited","L1",2015
"61","Firearm Exhibited","L1",2015
"62","Firearm Exhibited","L1",2015
"63","Hands / Escort tech","L1",2015
"64","Firearm Exhibited","L1",2015
"65","Hands / Escort tech","L1",2015
"66","Hands / Escort tech","L1",2015
"67","Hands / Escort tech","L1",2015
"68","Hands / Escort tech","L1",2015
"69","Firearm Exhibited","L1",2015
"70","Firearm Exhibited","L1",2015
"71","Firearm Exhibited","L1",2015
"72","Firearm Exhibited","L1",2015
"73","Firearm Exhibited","L1",2015
"74","Firearm Exhibited","L1",2015
"75","Firearm Exhibited","L1",2015
"76","Firearm Exhibited","L1",2015
"77","Firearm Exhibited","L1",2015
"78","Firearm Exhibited","L1",2015
"79","Firearm Exhibited","L1",2015
"80","Firearm Exhibited","L1",2015
"81","Firearm Exhibited","L1",2015
"82","Taser No-Hit","L2",2015
"83","Hands / Escort tech","L1",2015
"84","Hands / Escort tech","L1",2015
"85","Hands / Escort tech","L1",2015
"86","Taser Exhibited ","L1",2015
"87","Taser Exhibited ","L1",2015
"88","Hands / Escort tech","L1",2015
"89","Hands / Escort tech","L1",2015
"90","Taser No-Hit","L2",2015
"91","Taser No-Hit","L2",2015
"92","Firearm Exhibited","L1",2015
"93","Firearm Exhibited","L1",2015
"94","Canine (No Bite)","L1",2015
"95","Canine (No Bite)","L1",2015
"96","Hands / Escort tech","L1",2015
"97","Hands / Escort tech","L1",2015
"98","Hands / Escort tech","L1",2015
"99","Hands / Escort tech","L1",2015
"100","Hands / Escort tech","L1",2015
"101","Taser No-Hit","L2",2015
"102","Firearm Exhibited","L1",2015
"103","Taser Exhibited ","L1",2015
"104","Firearm Exhibited","L1",2015
"105","Firearm Exhibited","L1",2015
"106","Firearm Exhibited","L1",2015
"107","Firearm Exhibited","L1",2015
"108","Firearm Exhibited","L1",2015
"109","Firearm Exhibited","L1",2015
"110","Firearm Exhibited","L1",2015
"111","Firearm Exhibited","L1",2015
"112","Firearm Exhibited","L1",2015
"113","Firearm Exhibited","L1",2015
"114","Firearm Exhibited","L1",2015
